北海道, https://www.youtube.com/user/hokkaido
札幌市, https://www.youtube.com/user/SapporoPRD
函館市, https://www.youtube.com/channel/UCzuoycG58kXrfWPfjDcFP2Q
小樽市, https://www.youtube.com/user/otarucity
旭川市, https://www.youtube.com/user/kohokocho027
室蘭市, https://www.youtube.com/channel/UCaxkxH7Pqa75UxgVIpTlkCg
釧路市, https://www.youtube.com/channel/UCqux4cizQT592MiWqp1m3kQ
帯広市, https://www.youtube.com/channel/UCCOG-BqMClvrnLDES5Gj4qw
北見市, https://www.youtube.com/c/KitamiCity
夕張市, https://www.youtube.com/channel/UCDRnticBU_t3869XYrld9fw
岩見沢市, https://www.youtube.com/channel/UCJ1qyx46EWfODjkwWHrORoQ
芦別市, https://www.youtube.com/channel/UCPhiZYOtgyqdIf_cfxbyckA
江別市, https://www.youtube.com/channel/UCIPX0Fppz2nJwp0EZgYenFA
赤平市, https://www.youtube.com/channel/UCTURdOf6Yiwyw9r3iqeBLjA
登別市, https://www.youtube.com/channel/UCRIzW5vxP3xbyFTVM6vDxTw
石狩市, https://www.youtube.com/channel/UCJzmklT0SrfML5NvqTWV1nw/fe ...
七飯町, https://www.youtube.com/channel/UCZT0oskIxlb2MmdK2i5OorQ
森町, https://www.youtube.com/user/townmorihokkaido
上ノ国町, https://www.youtube.com/channel/UCc3fkZJQfDPIJRF4mCyKNjg
せたな町, https://www.youtube.com/user/SetanaTV
真狩村, https://www.youtube.com/channel/UCsr8Gb9Pg8AJBMojO1ZHJSA
栗山町, https://www.youtube.com/channel/UCKDMoKCyvYDrPmuZBVfSqSw
浦臼町, https://www.youtube.com/channel/UCFsVzWADei2qrnLCd3NwnoA
鷹栖町, https://www.youtube.com/user/TownofTakasu
東神楽町, https://www.youtube.com/channel/UCgiNpE0E1YFV6Ef4dI-I7ig
当麻町, https://www.youtube.com/user/TohmaTownHokkaido
比布町, https://www.youtube.com/user/pipputown
上川町, https://www.youtube.com/channel/UCXbba8YGRR8n_GfD7vpVatg
